INFO 2023-01-03 22:08:23,330 basehttp 10924 12224 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2023-01-03 22:08:23,345 basehttp 10924 12224 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2023-01-03 22:08:23,347 basehttp 10924 14788 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3763
INFO 2023-01-03 22:08:23,436 basehttp 10924 14788 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2023-01-03 22:08:23,449 basehttp 10924 12224 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2023-01-03 22:08:23,462 basehttp 10924 14788 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2023-01-03 22:08:28,790 basehttp 10924 14788 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2023-01-03 22:08:29,070 basehttp 10924 14788 "GET /admin/ HTTP/1.1" 200 13939
INFO 2023-01-03 22:08:29,152 basehttp 10924 14788 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO 2023-01-03 22:08:29,319 basehttp 10924 14788 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2023-01-03 22:08:29,321 basehttp 10924 12224 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2023-01-03 22:08:29,380 basehttp 10924 12224 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2023-01-03 22:08:41,862 basehttp 10924 12224 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 16355
INFO 2023-01-03 22:08:41,951 basehttp 10924 14296 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2023-01-03 22:08:41,958 basehttp 10924 4396 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8985
INFO 2023-01-03 22:08:41,966 basehttp 10924 14968 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2023-01-03 22:08:41,974 basehttp 10924 14296 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2023-01-03 22:08:41,991 basehttp 10924 4396 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2023-01-03 22:08:42,012 basehttp 10924 14788 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6395
INFO 2023-01-03 22:08:42,017 basehttp 10924 10288 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
